NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Study Type
NCT07099794,"A Randomized, Two-cohort, Prospective Phase II Clinical Study of the Second-line Treatment of Advanced Biliary System Tumors With Liposomal Irinotecan (II) Combination Regimen",https://clinicaltrials.gov/study/NCT07099794,NOT_YET_RECRUITING,Biliary Tract Cancer (BTC),DRUG: Liposomal irinotecan+5-FU/LV+Lenvatinib|DRUG: NALIRI,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,ALL,INTERVENTIONAL
NCT07099781,Relation Between Hand Grip and Shoulder Muscle Strength After Surgical Stabilization of Shoulder Dislocations,https://clinicaltrials.gov/study/NCT07099781,COMPLETED,Arthroscopic Bankart Repair|Arthroscopic Shoulder Surgery|Hand Grip Strength|Rotator Cuff Strength,DEVICE: handheld dynamometer and hand grip dynamometer,Cairo University,,ALL,OBSERVATIONAL
NCT07099768,"Correlation Between the Flexibility of Hip Muscles, Pain and Disability in Chronic Nonspecific Low Back Pain",https://clinicaltrials.gov/study/NCT07099768,NOT_YET_RECRUITING,Non Specific Low Back Pain,,Cairo University,,ALL,OBSERVATIONAL
NCT07099755,This Study Aimed to Evaluate the Effect of Dynamic Neuromuscular Stabilization (DNS) on Pain Intensity and Functional Disability in Women With PLBP as Common Problem Affect t he Women After Birth Which Often Impacting Their Quality of Life and Ability to Perform Daily Activities,https://clinicaltrials.gov/study/NCT07099755,COMPLETED,Post -Partum Low Back Pain|Dynamic Neuromuscular Stabilization (DNS)|Women&#39;s Health / Physiotherapy|Musculoskeletal Rehabilitation|Core Stability and Functional Disability,BEHAVIORAL: Intervention Group: Name: Dynamic Neuromuscular Stabilization (DNS) Exercises|DEVICE: Control Group:Name: Conventional Physiotherapy (Ultrasound and Infrared Therapy),Gehad Alaa,,FEMALE,INTERVENTIONAL
NCT07099742,Effectiveness and Safety of Tirzepatide Among Participants With Obesity With or Without Type 2 Diabetes Mellitus (T2DM),https://clinicaltrials.gov/study/NCT07099742,NOT_YET_RECRUITING,Obesity,DRUG: Tirzepatide|BEHAVIORAL: Life Style Modification,Dr. Md. Alimur Reza,,ALL,OBSERVATIONAL
NCT07099729,Comparison of Dynamic Mechanical Power Formula With Geometric Method in Pressure- and Volume-Controlled Ventilation: A Validation Study,https://clinicaltrials.gov/study/NCT07099729,COMPLETED,Acute Respiratory Distress Syndrome (ARDS)|Ventilated Patient in Intensive Care,OTHER: Volume-Controlled Ventilation (VCV) with inspiratory-to-expiratory (I:E) ratio of 1:2.|OTHER: Volume-Controlled Ventilation (VCV) with inspiratory-to-expiratory (I:E) ratio of 1:1.|OTHER: Pressure-Controlled Ventilation (PCV) with inspiratory-to-expiratory (I:E) ratio of 1:2.|OTHER: Pressure-Controlled Ventilation (PCV) with inspiratory-to-expiratory (I:E) ratio of 1:1.,Başakşehir Çam & Sakura City Hospital,,ALL,OBSERVATIONAL
NCT07099716,"Physiological Data Recording Over 24 Hours Using the Continual Optical Hilo Blood Pressure Monitor and an Ambulatory Blood Pressure Monitor: a Single-center, Prospective Clinical Study.",https://clinicaltrials.gov/study/NCT07099716,NOT_YET_RECRUITING,Hypertension,DEVICE: Wearing Hilo band and Ambulatory Blood Pressure Monitor,Aktiia SA,,ALL,OBSERVATIONAL
NCT07099703,Ahi-Based Education on the Professional Values of Nursing Students,https://clinicaltrials.gov/study/NCT07099703,NOT_YET_RECRUITING,Nursing Students|Professional Values|Education,OTHER: Experimental|OTHER: Routine education,Kirsehir Ahi Evran Universitesi,,ALL,INTERVENTIONAL
NCT07099690,Perineal Massage During Labor for the Prevention of Perineal Trauma: A Randomized Clinical Trial,https://clinicaltrials.gov/study/NCT07099690,RECRUITING,Obstetric; Injury Pelvic Floor,OTHER: Perineal massage,Federal University of Rio Grande do Sul,,FEMALE,INTERVENTIONAL
NCT07099677,Short-Term Effects of Antihypertensive Drugs on Postural Balance and Fall Risk,https://clinicaltrials.gov/study/NCT07099677,RECRUITING,Hypertension|Fall Risk|Antihypertensive Medication Effects|Postural Balance|Fear of Falling,DRUG: Beta Blocker|DRUG: ACE inhibitor|DRUG: Calcium channel blocker,Abant Izzet Baysal University,,ALL,INTERVENTIONAL
NCT07099664,Use of the Aortic Time-velocity Integral Via Suprasternal Ultrasound to Search Preload Dependence in Paediatric Surgery : Kid's Fluid Management (FM),https://clinicaltrials.gov/study/NCT07099664,NOT_YET_RECRUITING,Hemodynamic,DIAGNOSTIC_TEST: Measurement of aortic Vmax and VTI with suprasternal doppler.,"University Hospital, Lille",,ALL,OBSERVATIONAL
NCT07099651,Autosomal Dominant Spinocerebellar Ataxias and Social Cognition,https://clinicaltrials.gov/study/NCT07099651,NOT_YET_RECRUITING,"Autosomal Dominant Spinocerebellar Ataxia (SCA1, 2,3,6,7,27B)",OTHER: tests,"University Hospital, Angers",,ALL,INTERVENTIONAL
NCT07099638,Trial of Varenicline With Nicotine Lozenges and a Smartphone Medication Adherence Intervention for Smoking Cessation,https://clinicaltrials.gov/study/NCT07099638,NOT_YET_RECRUITING,Smoking Cessation,DRUG: Varenicline (VAR)|DRUG: Nicotine lozenge (NRT)|BEHAVIORAL: Smartphone intervention with adherence components (ADHERE)|BEHAVIORAL: Smartphone intervention without adherence components (NO ADHERE)|BEHAVIORAL: Telephone Counseling,University of Oklahoma,National Cancer Institute (NCI)|Brown University|Thomas Jefferson University|Sidney Kimmel Cancer Center at Thomas Jefferson University|Stephenson Cancer Center,ALL,INTERVENTIONAL
NCT07099625,Optimization of Adaptive Rowing Seating,https://clinicaltrials.gov/study/NCT07099625,NOT_YET_RECRUITING,Spinal Cord Diseases|Spinal Cord Injuries|Neurodegenerative Disorders|Cerebrovascular Accident With Associated Sequelae,DEVICE: Adaptive Indoor Rowing Seat|DEVICE: Paddle Sport adaptive seating system,VA Office of Research and Development,Louis Stokes VA Medical Center,ALL,INTERVENTIONAL
NCT07099612,Smart Blister Packaging and Mobile Application to Monitor and Support Medication Adherence: a Two-arm Usability Study,https://clinicaltrials.gov/study/NCT07099612,COMPLETED,Healthy Volunteer Study,DEVICE: MEMS® Mobile smartphone application|DEVICE: Cere®Pak smart blister pack,University Medical Center Groningen,Aardex Group|Smurfit Westrock,ALL,INTERVENTIONAL
NCT07099599,Image Detection of Impaired Microcirculatory Reperfusion,https://clinicaltrials.gov/study/NCT07099599,RECRUITING,"Ischemic Stroke, Acute|Large Vessel Occlusion",DIAGNOSTIC_TEST: CT Perfusion,University of Cincinnati,American Heart Association,ALL,OBSERVATIONAL
NCT07099586,"Vitamin B12, Folic Acid, and Vitamin D Status in Women of Reproductive Age",https://clinicaltrials.gov/study/NCT07099586,RECRUITING,"Vitamin d, Vitamin B 12 and Folic Acid Concentrations|Micronutrient Status in Women of Reproductive Age|Vitamin Status Assessment",OTHER: No Interventions,University of Mostar,,FEMALE,OBSERVATIONAL
NCT07099573,Analysis of Hyperthermia as an Adjunctive Treatment to Evidence-based Clinical Intervention in Subjects With Bursitis: a Double-blind Randomized Clinical Trial,https://clinicaltrials.gov/study/NCT07099573,NOT_YET_RECRUITING,Bursitis|Hyperthermia,RADIATION: Hyperthermia|OTHER: Physical Exercise|OTHER: Stretching,University of Malaga,,ALL,INTERVENTIONAL
NCT07099560,Ultrasound Guided Sacral Erector Spinae Plane Block Versus Ultrasound Guided Caudal Block in Pediatric Undergoing Hypospadias Surgery,https://clinicaltrials.gov/study/NCT07099560,RECRUITING,"Hypospadias|Caudal Block|Erector Spinae Plane Block|Pain, Postoperative",OTHER: Sacral erector spinae block|OTHER: Caudal block,Tanta University,,MALE,INTERVENTIONAL
NCT07099547,Study of ZG005 in Combination With Platinum-Based Chemotherapy in Participants With Advanced Biliary Tract Carcinoma,https://clinicaltrials.gov/study/NCT07099547,NOT_YET_RECRUITING,Biliary Tract Carcinoma,DRUG: ZG005|DRUG: Tislelizumab|DRUG: Gemcitabine|DRUG: Cisplatin,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",,ALL,INTERVENTIONAL
NCT07099534,Ketamine Infusion for Symptomatic Improvement in Severe Borderline Personality Disorder: A Pilot Study,https://clinicaltrials.gov/study/NCT07099534,NOT_YET_RECRUITING,Infusion of Ketamine in Severe Borderline Personality Disorder|Borderline Personality Disorder (BPD),DRUG: IV Ketamine (0.5 mg/kg) Infusion - Two Doses Administered 24 Hours Apart for Severe Borderline Personality Disorder,"University Hospital, Toulouse",,ALL,INTERVENTIONAL
NCT07099521,The Effects of High-definition Transcranial Direct Current Stimulation on Cognitive Bias Among Individuals With Social Anxiety Symptoms,https://clinicaltrials.gov/study/NCT07099521,COMPLETED,Social Anxiety Disorder,DEVICE: Active High-definition transcranial direct current stimulation|DEVICE: Sham high-definition transcranial direct current stimulation,South China Normal University,,ALL,INTERVENTIONAL
NCT07099508,Factors Influencing Home Nursing Care Service,https://clinicaltrials.gov/study/NCT07099508,NOT_YET_RECRUITING,Home Care Services,,University of Padova,Azienda Ulss 6 EUGANEA,ALL,OBSERVATIONAL
NCT07099495,REDUCED FUNCTIONALITY AND KINESIOPHOBIA IN PATIENTS WITH HEART FAILURE: USE OF ALTERNATIVE THERAPEUTIC STRATEGIES,https://clinicaltrials.gov/study/NCT07099495,NOT_YET_RECRUITING,Heart Failure|Heart Failure NYHA Class III|Heart Failure NYHA Class IV|Neuromuscular Electrical Stimulation (NMES)|Kinesiophobia,DEVICE: Low Frequency Neuromuscular Electrical Stimulation|DEVICE: Medium Frequency Neuromuscular Electrical Stimulation|DEVICE: Neuromuscular Electrical Stimulation without generating contractility,Universidade Federal do Rio Grande do Norte,,ALL,INTERVENTIONAL
NCT07099482,"""Ultrasound-Enhanced Propolis Therapy for Healing Diabetic Foot Wounds""",https://clinicaltrials.gov/study/NCT07099482,NOT_YET_RECRUITING,Diabetic Foot Ulcer t|Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus|Wound Management|Chronic Wound Healing,DEVICE: Sham ultrasound (placebo)|DRUG: Propolis gel (10%),Sinai University,,ALL,INTERVENTIONAL
NCT07099469,Compairing R-ICNB and C-ICNB for Postoperative Pain Management After Minimal-invasive Anatomical Lung Resection,https://clinicaltrials.gov/study/NCT07099469,RECRUITING,Postoperative Pain Management|RATS Surgery,,"University Hospital, Antwerp",,ALL,OBSERVATIONAL
NCT07099456,Fertility And Sexual Function In CAH: CALLIOPE,https://clinicaltrials.gov/study/NCT07099456,RECRUITING,Congenital Adrenal Hyperplasia (CAH),,University of Roma La Sapienza,University of Modena and Reggio Emilia|Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Federico II University|S. Andrea Hospital,ALL,OBSERVATIONAL
NCT07099443,Determinants of the Response to BTK Degraders (BTKd) in Double Refractory CLL,https://clinicaltrials.gov/study/NCT07099443,NOT_YET_RECRUITING,Chronic Lymphocytic Leukemia|Refractory Chronic Lymphocytic Leukemia,OTHER: Non-Interventional Sample Collection and Analysis,Nantes University Hospital,,ALL,OBSERVATIONAL
NCT07099430,"A Trial of LBL-024 Monotherapy, LBL-024 Combined With LBL-007 or Toripalimab in Patients With Advanced Melanoma.",https://clinicaltrials.gov/study/NCT07099430,NOT_YET_RECRUITING,Advanced Melanoma,DRUG: LBL-024 for Injection|DRUG: LBL-007 Injection|DRUG: Toripalimab Injection,"Nanjing Leads Biolabs Co.,Ltd",,ALL,INTERVENTIONAL
NCT07099417,Screening of Valvular Heart Disease Using Single-channel Electrocardiogram,https://clinicaltrials.gov/study/NCT07099417,RECRUITING,Valvular Heart Disease Stenosis and Regurgitation|Valvular Heart Disease,DIAGNOSTIC_TEST: No intervention (observational study),I.M. Sechenov First Moscow State Medical University,,ALL,OBSERVATIONAL
NCT07099404,Parathyroid Adenoma Detection With Rubidium-82 Imaging,https://clinicaltrials.gov/study/NCT07099404,NOT_YET_RECRUITING,"Parathyroid Adenomas|Hyperparathyroidism, Primary",OTHER: PET/CT imaging with rubidium-82,"Matthieu Pelletier-Galarneau, MD MSc",,ALL,OBSERVATIONAL
NCT07099391,A Study of Dara-RVd and Teclistamab-RVd in People With Multiple Myeloma,https://clinicaltrials.gov/study/NCT07099391,RECRUITING,Multiple Myeloma,DRUG: Dara-RVd|DRUG: Tec-RVd,Memorial Sloan Kettering Cancer Center,,ALL,INTERVENTIONAL
NCT07099378,Micro Ribonucleic Acid (miRNA) Expression and Inflammatory Factors in Patients With Parkinson's and Periodontal Disease,https://clinicaltrials.gov/study/NCT07099378,NOT_YET_RECRUITING,Periodontal Diseases Inflammation,OTHER: Saliva and Serum|OTHER: Saliva and Serum,Medipol University,,ALL,INTERVENTIONAL
NCT07099365,Psychological Adjustment to Long-term (PAL) Physical Conditions: A Randomised Cross-over Feasibility Trial of a Self-guided App,https://clinicaltrials.gov/study/NCT07099365,RECRUITING,"Depression, Anxiety|Chronic Disease",DEVICE: Orbi,King's College London,Avegen Health,ALL,INTERVENTIONAL
NCT07099352,Efficacy of of Acupuncture Laser Therapy on Hemodialysis Patients,https://clinicaltrials.gov/study/NCT07099352,ACTIVE_NOT_RECRUITING,Hemodialysis,DEVICE: Acupuncture Laser Therapy,Sinai University,,ALL,INTERVENTIONAL
NCT07099339,Effect of Pudendal Nerve Electrical Stimulation on Fecal Incontinence in Children With Repaired Anorectal Malformation: A Randomized Controlled Clinical Trial,https://clinicaltrials.gov/study/NCT07099339,COMPLETED,Fecal Incontinence (FI)|Anorectal Malformations,BEHAVIORAL: Behavioral Therapy|OTHER: Kegel Exercise|DEVICE: Pudendal Nerve Electrical Stimulation|DIAGNOSTIC_TEST: Anal Sphincter Muscle Activity Peak|DIAGNOSTIC_TEST: Bowel Diary Documentation,Sinai University,"National Institute of Diabetes and Endocrinology, Egypt|El Galaa Teaching Hospital|Benha Children Hospital|Benha University",ALL,INTERVENTIONAL
NCT07099326,Interactive vs. Standard Video Education for Improving Outcomes in Hemodialysis Patients,https://clinicaltrials.gov/study/NCT07099326,NOT_YET_RECRUITING,Hemodialysis|Nurse|Educational Videos|Patient Activation|Weight Change|Treatment Adherence,OTHER: Educational Method Using Interactive Video|OTHER: Educational Method Using Conventional Video,Shahid Beheshti University of Medical Sciences,,ALL,INTERVENTIONAL
NCT07099313,Association of Prophylactic Treatment With Treatment Burden and Psychosocial Variables in Patients With Hemophilia,https://clinicaltrials.gov/study/NCT07099313,NOT_YET_RECRUITING,Hemophilia,,Investigación en Hemofilia y Fisioterapia,,MALE,OBSERVATIONAL
NCT07099300,The Use of Nasogastric Tubes and Water-Soluble Contrast With or Without Radiographic Imaging in The Management of Adhesive Small Bowel Obstruction: A Feasibility Study,https://clinicaltrials.gov/study/NCT07099300,NOT_YET_RECRUITING,Small Bowel Obstruction,DIAGNOSTIC_TEST: Abdominal Radiography,"University of California, Los Angeles",,ALL,INTERVENTIONAL
NCT07099287,Advancing Smoking Cessation Among Transgender,https://clinicaltrials.gov/study/NCT07099287,COMPLETED,Smoking Cessation,BEHAVIORAL: TRANSform your health,University of Rochester,National Cancer Institute (NCI)|Fundación Huésped,ALL,INTERVENTIONAL
NCT07099274,Lparomlimab and Tuvonralimab Injection in Combination With TACE and Lenvatinib in the Treatment of Second-Line Therapy for Locally Advanced or Metastatic Clear Cell Renal Cell Carcinoma Following Failure of First-Line Systemic Therapy,https://clinicaltrials.gov/study/NCT07099274,NOT_YET_RECRUITING,HCC,DRUG: lparomlimab and Tuvonralimab Injection in Combination with TACE and Lenvatinib,Tianjin Medical University Cancer Institute and Hospital,,ALL,INTERVENTIONAL
NCT07099261,A Comparative Clinical Study to Evaluate Crowns Designed by Artificial Intelligence Versus Crowns Designed Traditional Design Software,https://clinicaltrials.gov/study/NCT07099261,NOT_YET_RECRUITING,Dental Crown,OTHER: Crowns,Tishreen University,,ALL,INTERVENTIONAL
NCT07099248,Cervico-vestibular Home Exercise Program Feasibility,https://clinicaltrials.gov/study/NCT07099248,NOT_YET_RECRUITING,Concussion|Sports Injuries in Children,OTHER: Cervico-vestibular Home Exercise Program,Texas Scottish Rite Hospital for Children,,ALL,INTERVENTIONAL
NCT07099235,Chart Review of Patients Undergoing Ketamine Treatments for Depression,https://clinicaltrials.gov/study/NCT07099235,COMPLETED,Depression - Major Depressive Disorder,DRUG: ketamine hydrochloride,Sunnybrook Health Sciences Centre,,ALL,OBSERVATIONAL
NCT07099222,"Efficacy of Non-weight Based, Low Dose Dex-Dex Adjuncts in Prolonging Peripheral Nerve Blocks",https://clinicaltrials.gov/study/NCT07099222,ACTIVE_NOT_RECRUITING,"Postoperative Pain|Nausea and Vomiting, Postoperative|Dizziness|Constipation|Duration of Response|Narcotics Consumption|Pain After Surgery","DRUG: Low, non-weight based dose of Dexamethasone and Dexmedetomidine in peripheral nerve blocks|DRUG: Ropivacaine with low, non weight based Dexamethasone additive",University of Arizona,,ALL,INTERVENTIONAL
NCT07099209,Delta-Wave Hypnoanalgesia for Reducing Perioperative Anxiety in Cataract Surgery,https://clinicaltrials.gov/study/NCT07099209,COMPLETED,Cataract|Anxiety,BEHAVIORAL: Delta-Wave Hypnoanalgesia,Military Hospital of Tunis,,ALL,INTERVENTIONAL
NCT07099196,Impact of Virtual Reality on Pain and Anxiety During Intravenous Cannulation Procedures Among Thalassemia Patients in UAE.,https://clinicaltrials.gov/study/NCT07099196,COMPLETED,"Thalassemia, Beta|Thalassemia|Pain|Anxiety|Blood Disorder",DEVICE: Headset-based Virtual Reality Simulation,Mohammed Bin Rashid University of Medicine and Health Sciences,,ALL,INTERVENTIONAL
NCT07099183,Nyx3 Data Collection Study,https://clinicaltrials.gov/study/NCT07099183,NOT_YET_RECRUITING,Sleep Staging,,ResMed,,ALL,OBSERVATIONAL
NCT07099170,Training Models in Pelvic Floor Muscle Training,https://clinicaltrials.gov/study/NCT07099170,NOT_YET_RECRUITING,Pelvic Floor Muscle Exercise|Healthy Adult Women|Pelvic Floor Muscle Training,BEHAVIORAL: Brochure-Based Pelvic Floor Muscle Training|BEHAVIORAL: Verbal Instruction-Based Pelvic Floor Muscle Training|BEHAVIORAL: Visual-Aided Pelvic Floor Muscle Training|BEHAVIORAL: External Palpation-Aided Pelvic Floor Muscle Training,Izmir University of Economics,Dokuz Eylul University,FEMALE,INTERVENTIONAL
NCT07099157,Efficacy and Safety of Brivudine in the Treatment of Herpes Zoster,https://clinicaltrials.gov/study/NCT07099157,NOT_YET_RECRUITING,Herpes Zoster,DRUG: Brivudine|DRUG: Famciclovir,Peking University Third Hospital,"Peking University First Hospital|Air Force Military Medical University, China|Beijing Hospital of Traditional Chinese Medicine|Xuanwu Hospital, Beijing",ALL,INTERVENTIONAL
NCT07099144,Inhaled Nitric Oxide for the Treatment of Neonatal Hypoxic Respiratory Failure With Pulmonary Hypertension,https://clinicaltrials.gov/study/NCT07099144,RECRUITING,Pulmonary Hypertension|Hypoxic Respiratory Failure,DRUG: Inhaled nitric oxide (NO),Lee's Pharmaceutical Limited,,ALL,OBSERVATIONAL
NCT07099131,Effective Interventions to Overcome Severe Gag Reflex,https://clinicaltrials.gov/study/NCT07099131,NOT_YET_RECRUITING,Gagging,DRUG: Anesthetic spray|DEVICE: Acupuncture|GENETIC: Masking Tape,Tufts University,,ALL,INTERVENTIONAL
NCT07099118,"A Safety, Tolerability, Pharmacokinetics/Pharmacodynamics Study of HEC169584 Capsules in Healthy Subjects",https://clinicaltrials.gov/study/NCT07099118,NOT_YET_RECRUITING,Non - Alcoholic Steatohepatitis,DRUG: HEC169584 capsule|DRUG: placebo,"Sunshine Lake Pharma Co., Ltd.",,ALL,INTERVENTIONAL
NCT07099105,Subcostal Single-port Versus Intercostal Multi-port Robotic Lobectomy for Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT07099105,COMPLETED,Non Small Cell Lung Cancer,,Korea University Guro Hospital,,ALL,OBSERVATIONAL
NCT07099092,Causal Mechanisms of Odor-Guided Behavior in Humans,https://clinicaltrials.gov/study/NCT07099092,NOT_YET_RECRUITING,Normal Physiology,DEVICE: TUS PirC|DEVICE: TUS Amy|DEVICE: TUS Sham,National Institute on Drug Abuse (NIDA),,ALL,INTERVENTIONAL
NCT07099079,Post-Market Clinical Follow-Up Study on the Rotational Stability of an Intraocular Lens After Cataract Surgery,https://clinicaltrials.gov/study/NCT07099079,NOT_YET_RECRUITING,"IOL, Cataract",,Rayner Intraocular Lenses Limited,,ALL,OBSERVATIONAL
NCT07099066,Generation of Cell Banks and Biomarker Isolation From Patients With Amyotrophic Lateral Sclerosis (ALS) (HCD-SLA),https://clinicaltrials.gov/study/NCT07099066,NOT_YET_RECRUITING,Amyotrophic Lateral Sclerosis (ALS),OTHER: sampling blood,Human Cell Design,,ALL,OBSERVATIONAL
